Name,URL,Price,Neighborhood
Beautiful furnished Mission Loft Valencia in Mission,http://sfbay.craigslist.org/sfc/apa/5579625703.html,$4100,mission district
"1BD 2BA Soma Loft, Pets OK, Wood Floors, Private Patio",http://sfbay.craigslist.org/sfc/apa/5590891027.html,$3500,SOMA / south beach
"1BD 2BA Soma Loft, Pets OK, Wood Floors, Private Patio",http://sfbay.craigslist.org/sfc/apa/5594872768.html,$3500,SOMA / south beach
"Spacious Tri-Level Loft w/ 2 Entrances, Roof deck & Pkg in Dogpatch",http://sfbay.craigslist.org/sfc/apa/5570918256.html,$4800,potrero hill
Large Live/Work Loft,http://sfbay.craigslist.org/sfc/apa/5600730857.html,$3650,potrero hill
Mid Market | Loft #118 | In-Unit Lndry | Roof Deck | Stevenson Lofts,http://sfbay.craigslist.org/sfc/apa/5600633447.html,$2875,SOMA / south beach
"Modern 2bd/2bth Loft w/ALL Amenities, Parking Included!",http://sfbay.craigslist.org/sfc/apa/5570169114.html,$4800,SOMA / south beach
"ID#1498: SOMA 1BR/2BA Live/Work Loft w/Deck, Pkg",http://sfbay.craigslist.org/sfc/apa/5575015898.html,$3900,SOMA / south beach
SOMA BI-LEVEL LOFT W/ BALCONY,http://sfbay.craigslist.org/sfc/apa/5600535563.html,$4200,SOMA / south beach
Large open space rare modern loft designed by Stanley Saitowitz,http://sfbay.craigslist.org/sfc/apa/5594595844.html,$4250,SOMA / south beach
Live Work Loft in SF Soma,http://sfbay.craigslist.org/sfc/apa/5563890207.html,$2195,downtown / civic / van ness
"SOMA 1bd/2ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5599333569.html,$3450,SOMA / south beach
"SOMA 2bd/2.5ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5599327673.html,$4850,SOMA / south beach
Top Floor Spacious Corner Unit 2-Level Loft in,http://sfbay.craigslist.org/sfc/apa/5598841987.html,$3800,SOMA / south beach
Elegantly Furnished Loft *Turnkey* AMSI Scott Russell Jr,http://sfbay.craigslist.org/sfc/apa/5572144000.html,$4995,financial district
"1BD 1.5BA Soma Loft Utilities Included, Rooftop Terrace",http://sfbay.craigslist.org/sfc/apa/5597593813.html,$3500,SOMA / south beach
Elegantly Furnished Loft *Turnkey* AMSI Scott Russell Jr,http://sfbay.craigslist.org/sfc/apa/5580208983.html,$4995,financial district
"Bi-Level Live/Work Loft w/ Frplce, & Parking",http://sfbay.craigslist.org/sfc/apa/5592805518.html,$3800,SOMA / south beach
Dogpatch Loft 2 Bedroom 2 Bath Potrero Square,http://sfbay.craigslist.org/sfc/apa/5596205560.html,$4500,potrero hill
Live/Work Loft with Sunny Windows,http://sfbay.craigslist.org/sfc/apa/5563905535.html,$2195,SOMA / south beach
"Massive Loft with Private Garden, Parking Included",http://sfbay.craigslist.org/sfc/apa/5559388658.html,$3975,potrero hill
Harrison @ 20th -- Loft. 1-2 BR / 1.5BA + Office Zone. Views. Garage,http://sfbay.craigslist.org/sfc/apa/5595505371.html,$4480,mission district
"SOMA 1bd/2ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5595270259.html,$3450,SOMA / south beach
"SOMA 2bd/2.5ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5595265507.html,$4850,SOMA / south beach
"1BD 1.5BA Soma Loft Utilities Included, Rooftop Terrace",http://sfbay.craigslist.org/sfc/apa/5594871431.html,$3500,SOMA / south beach
"2BD 2.5BA Expansive Tri-Level Soma Loft, Garage Parking, Pets OK",http://sfbay.craigslist.org/sfc/apa/5594860944.html,$4600,SOMA / south beach
One level loft with private patio,http://sfbay.craigslist.org/sfc/apa/5572333287.html,$3900,SOMA / south beach
"1BD 1.5BA Soma Loft Utilities Included, Rooftop Terrace",http://sfbay.craigslist.org/sfc/apa/5594668646.html,$3500,SOMA / south beach
"Luxury,Loft, THREE LEVELS,2 & 1 1/2 BATHS,W/D in loft,easyFWY access",http://sfbay.craigslist.org/sfc/apa/5594647136.html,$4400,SOMA / south beach
"LUXURY loft,@ hearth/Soma2full B/rsF/P,patioW/D in loft,easyFWYaccess",http://sfbay.craigslist.org/sfc/apa/5594627249.html,$3500,SOMA / south beach
One of a Kind Loft with Amazing Location,http://sfbay.craigslist.org/sfc/apa/5563882005.html,$2195,SOMA / south beach
Unique Loft with Prime Location,http://sfbay.craigslist.org/sfc/apa/5568302751.html,$2195,downtown / civic / van ness
Loft with Great Central Location (Couples Welcome),http://sfbay.craigslist.org/sfc/apa/5586139783.html,$2195,tenderloin
Mid Market | Loft #118 | In-Unit Lndry | Roof Deck | Stevenson Lofts,http://sfbay.craigslist.org/sfc/apa/5593001587.html,$2995,SOMA / south beach
Furnished Designer Loft for Rent,http://sfbay.craigslist.org/sfc/apa/5583129102.html,$5000,hayes valley
2 Bed 2 Bath Loft in SOMA with parking and laundry!,http://sfbay.craigslist.org/sfc/apa/5591109990.html,$4500,SOMA / south beach
"Large Bi-level Loft near Caltrain, 22nd St Station",http://sfbay.craigslist.org/sfc/apa/5591010879.html,$3300,potrero hill
"Spacious Loft with View, W/D in unit and Parking included",http://sfbay.craigslist.org/sfc/apa/5590886495.html,$3950,mission district
"SOMA 1bd/2ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5590187285.html,$3450,SOMA / south beach
"SOMA 2bd/2.5ba loft w/pkg, w/d, roofdeck ~ J.Wavro",http://sfbay.craigslist.org/sfc/apa/5590185474.html,$4850,SOMA / south beach
Cozy and newly remodeled 1br loft in SOMA!,http://sfbay.craigslist.org/sfc/apa/5589906932.html,$2300,SOMA / south b
One Level Loft Condo Near SF Flower Market,http://sfbay.craigslist.org/sfc/apa/5581682245.html,$2700,SOMA / south beach
"SoMa - 1 BR, 1.5 BA Condo 830 Sq. Ft. - Loft Style Condo w Parking",http://sfbay.craigslist.org/sfc/apa/5601014726.html,$3850,SOMA / south beach
"BEAUTIFUL, SUNNY Loft Near Twitter - $3400",http://sfbay.craigslist.org/sfc/apa/5600890567.html,$3400,SOMA / south beach
"High Ceilings, Natural Light, and Parking Included in this Loft",http://sfbay.craigslist.org/sfc/apa/5584878995.html,$3595,san francisco
Perfect for Roommates! One Bedroom with Loft!,http://sfbay.craigslist.org/sfc/apa/5600831783.html,$3276,SOMA / south beach
