Name,URL,Price,Neighborhood
Furnished LOFT- 1BR+ DEN - 2 parking spaces,http://sfbay.craigslist.org/eby/apa/5601297614.html,$3400,emeryville
"Sunny, Spacious 2bd/2ba Loft",http://sfbay.craigslist.org/eby/apa/5600872631.html,$3150,emeryville
"Large, Sunny Loft 15 Mins from SF (Util. Included)",http://sfbay.craigslist.org/eby/apa/5579425158.html,$2200,emeryv
1br - 890ft2 - West Oakland Loft for rent,http://sfbay.craigslist.org/eby/apa/5590933841.html,$2800,oakland west
Sunny two-story Loft in Pacific Cannery,http://sfbay.craigslist.org/eby/apa/5597270402.html,$2850,oakland west
Open House 5/21 11am to 2pm Downtown Loft,http://sfbay.craigslist.org/eby/apa/5587249814.html,$2850,oakland downtown
Beautiful 2 story Loft with 20ft ceilings,http://sfbay.craigslist.org/eby/apa/5559981665.html,$4195,berkeley
$2300 Adorable live work loft,http://sfbay.craigslist.org/eby/apa/5593519737.html,$2300,oakland west
1BR plus LOFT apartment. Call for SPECIALS!,http://sfbay.craigslist.org/eby/apa/5590868779.html,$2301,fremont / union city / newark
Newly Built Large Loft Space,http://sfbay.craigslist.org/eby/apa/5547174658.html,$3250,oakland west
"UPTOWN NEW YORK STYLE 1000 SQ FT LOFT - 2 BLOCKS TO BART, FOX, UPTOWN",http://sfbay.craigslist.org/eby/apa/5601146189.html,$2399,oakland down
Amazing 1x1 loft! Amazing special too! Hurry and call!,http://sfbay.craigslist.org/eby/apa/5600798106.html,$2229,dublin / pleasanton / livermore
"Luxury 2BD/2BR+Loft at Elan@Dublin Sta, BART Commuters Dream Location",http://sfbay.craigslist.org/eby/apa/5600624352.html,$2900,dublin / pleasanton / livermore
Modern Loft-Style Home 2b/2b,http://sfbay.craigslist.org/eby/apa/5595707987.html,$3000,oakland west
One of a Kind Loft Available Now!,http://sfbay.craigslist.org/eby/apa/5600242674.html,$2686,fremont / union city / newark
Charming loft in historic building,http://sfbay.craigslist.org/eby/apa/5589636141.html,$2250,berkeley
Charming Loft in Historic Building,http://sfbay.craigslist.org/eby/apa/5595707700.html,$2095,berkeley
"Windemere Single Family Home 4 Bd, 3 Ba and Loft",http://sfbay.craigslist.org/eby/apa/5600116469.html,$4300,danville / san r
Stunning Dublin Condo (1 Bd+Loft)/1 Bath - Pets OK,http://sfbay.craigslist.org/eby/apa/5599657393.html,$2590,dublin / pleasanton / livermore
Hip loft heart of Emeryville. EZ commute to SF. Sun 4:30 sharp,http://sfbay.craigslist.org/eby/apa/5590135275.html,$2595,emeryville
"Beautiful 2 Bed + Loft, 2.5 Bath townhome in Fremont Mission San Jose",http://sfbay.craigslist.org/eby/apa/5598613022.html,$3500,fremont / union city / newark
Large 1BR/1.5BA Waterfront Condo Loft on Oakland Alameda Estuary,http://sfbay.craigslist.org/eby/apa/5595107258.html,$2800,Alameda/Oakland Estuary
